Attraction_id,myAttraction_name,Combined_Attraction_Name,Attraction_name,User_Review_Score,Category,City,District,Number_of_Records,Place,State,Website,Formatted_Address,Lat,Lng,Pincode,Exc_frm_vislzn,Keywords
4200,Padmanabhapuram Palace,Padmanabhapuram Palace-KeralaHeritage,Padmanabhapuram Palace,4.1,Heritage,Thiruvananthapuram,Thiruvananthapuram District,1,Trivandrum(Thiruvananthapuram),Kerala,HolidayIQ,"Sweet Palace, Kumarapuram Road, Trivandrum, Thiruvananthapuram, Thiruvananthapuram District, Thiruvananthapuram, Kerala",8.530641,76.958257,695011,No,"['palace', 'tourist', 'window', 'passage', 'combination', 'architecture', 'coconut', 'hall', 'seat', 'courtyard', 'style', 'river', 'charcoal', 'white', 'example', 'attraction', 'world', 'sand', 'distance', 'ceiling']"
4201,Palace Of Surguja Princely State,Palace Of Surguja Princely State-ChhattisgarhHeritage,Palace Of Surguja Princely State,NULL,Heritage,Ambikapur,Surguja District,1,Ambikapur,Chhattisgarh,HolidayIQ,"Palace of Surguja Princely State, Ambikapur, Surguja District, Ambikapur, Chhattisgarh",23.115632,83.194319,497001,No,#N/A
4202,Palace Of The King Of Ladakh,Palace Of The King Of Ladakh-Jammu & KashmirHeritage,Palace Of The King Of Ladakh,4.87,Heritage,NULL,Leh Ladakh District,1,Ladakh (Leh),Jammu & Kashmir,HolidayIQ,"Ladakh Art Palace, Leh, Leh Ladakh District, Jammu & Kashmir",34.17394,77.531254,194101,No,#N/A
4203,Palaivananathar Temple,Palaivananathar Temple-Tamil NaduHeritage,Palaivananathar Temple,4.32,Heritage,NULL,Tirunelveli District,1,Tirunelveli,Tamil Nadu,HolidayIQ,"Temple, NH 44, Radhapuram, Tirunelveli District, Tamil Nadu",8.28636,77.569957,627133,No,['theertham']
4204,Palaki Mahal,Palaki Mahal-Madhya PradeshHeritage,Palaki Mahal,NULL,Heritage,Orchha,Tikamgarh District,1,Orchha,Madhya Pradesh,HolidayIQ,"Rajprabin Mahal, Orchha, Tikamgarh District, Orchha, Madhya Pradesh",25.350292,78.642667,472246,No,"['structure', 'roof', 'palanquin', 'name', 'century', 'part', 'verandah', 'pillar', 'front', 'present', 'period', 'palace', 'door', 'floor', 'stone']"
4205,Palakkad Fort,Palakkad Fort-KeralaHeritage,Palakkad Fort,4.68,Heritage,Palakkad,Palakkad District,1,Palakkad,Kerala,HolidayIQ,"Palakkad Fort Post Office, SH 27, Sultanpet, Palakkad, Palakkad District, Palakkad, Kerala",10.767222,76.65847,678001,No,"['fort', 'bridge', 'draw', 'corner', 'auditorium', 'vicinity', 'ruler', 'column', 'exhibition', 'engineer', 'cricket', 'area', 'army', 'match', 'bastion', 'garden', 'invasion', 'century', 'sq', 'meeting']"
4206,Palamalai Siddheswara Temple,Palamalai Siddheswara Temple-Tamil NaduHeritage,Palamalai Siddheswara Temple,NULL,Heritage,NULL,Salem District,1,Salem,Tamil Nadu,HolidayIQ,"Palamalai, Mettur, Salem District, Tamil Nadu",11.724515,77.732265,636303,No,#N/A
4207,Paleshwar Temple,Paleshwar Temple-MaharashtraHeritage,Paleshwar Temple,NULL,Heritage,Washim,Washim District,1,Washim,Maharashtra,HolidayIQ,"Paleshwar Temple, Washim, Washim District, Washim, Maharashtra",20.094536,77.136365,444505,No,#N/A
4208,Paliakara Church,Paliakara Church-KeralaHeritage,Paliakara Church,NULL,Heritage,NULL,Pathanamthitta District,1,Pathanamthitta,Kerala,HolidayIQ,"Church, Adoor, Pathanamthitta District, Kerala",9.165232,76.694675,691554,No,"['church', 'painting', 'day', 'mural', 'feast', 'wall', 'figure', 'saint', 'side', 'event', 'festival', 'destination', 'architecture', 'dye', 'patron', 'apostle', 'life', 'time', 'function', 'pm']"
4209,Paliam Nalukettu Museum,Paliam Nalukettu Museum-KeralaHeritage,Paliam Nalukettu Museum,3.99,Heritage,Kochi,Ernakulam District,1,Kochi (Cochin),Kerala,HolidayIQ,"Museum, Maulana Azad Road, Mattancherry, Kochi, Ernakulam District, Kochi, Kerala",9.959647,76.257945,682002,No,#N/A
