,Word,wcount,,
1719,love,6,,
684,coronation,6,,
486,cemetery,6,,
2205,plateau,6,,
2432,repository,6,,
2145,permission,6,,
2219,podium,6,,
465,caste,6,,
131,apartment,6,,
462,case,6,,
2934,terrain,6,,
63,adult,6,,
1902,monsoon,6,,
94,am,6,,
2505,royalty,6,,
438,cantonment,6,,
1766,manifestation,6,,
2073,palm,6,,
2071,palanquin,6,,
2440,research,6,,
2240,population,6,,
1893,monastery,5,,
2405,refuge,5,,
1864,milk,5,,
311,benefaction,5,,
2618,sermon,5,,
1898,monk,5,,
1299,grain,5,,
425,camera,5,,
306,believer,5,,
2424,reminder,5,,
877,diamond,5,,
347,board,5,,
346,boar,5,,
1749,majority,5,,
3117,vegetation,5,,
1530,irrigation,5,,
367,box,5,,
2801,stay,5,,
2423,remembrance,5,,
909,division,5,,
2831,stucco,5,,
1817,meal,5,,
392,buff,5,,
1796,martyrdom,5,,
2590,seashore,5,,
3058,trophy,5,,
1380,help,5,,
699,course,5,,
1284,gopuram,5,,
2087,parapet,5,,
167,arrow,5,,
1045,evolution,5,,
2281,preservation,5,,
2736,song,5,,
145,archaeology,5,,
144,archaeologist,5,,
2265,prakaram,5,,
1175,foothill,5,,
97,amalgamation,5,,
3205,width,5,,
2109,past,5,,
174,artifact,5,,
2717,slope,5,,
2194,planet,5,,
2120,patronage,5,,
2124,peace,5,,
43,accommodation,5,,
2147,person,5,,
2706,skeleton,5,,
2204,plate,5,,
2700,sister,5,,
2190,plain,5,,
3172,watchtower,5,,
3171,watch,5,,
961,earth,5,,
2647,shell,5,,
1922,moulding,5,,
279,bathing,5,,
969,edict,5,,
1930,movie,5,,
2774,square,5,,
3138,video,5,,
977,elegance,5,,
1263,ghat,5,,
231,back,5,,
2579,script,5,,
1000,engineer,5,,
2668,shopping,5,,
1243,garrison,5,,
2762,spirit,5,,
209,attire,5,,
2661,shivalinga,5,,
201,atmosphere,5,,
197,astrology,5,,
188,aspect,5,,
2286,prince,5,,
184,ash,5,,
1208,friend,5,,
496,chain,5,,
2800,status,5,,
2935,territory,5,,
570,cloth,5,,
2442,resemblance,5,,
527,chhatri,5,,
529,chief,5,,
1684,lime,5,,
1675,lie,5,,
803,decade,5,,
2447,resident,5,,
2930,term,5,,
1668,letter,5,,
791,darshan,5,,
1659,leg,5,,
822,delight,5,,
721,cremation,5,,
2936,testament,5,,
1495,inlay,5,,
1493,initiative,5,,
1436,hub,5,,
1442,hunting,5,,
1641,lattice,5,,
1446,hymn,5,,
595,college,5,,
750,cult,5,,
3006,tour,5,,
1599,kitchen,5,,
1399,hilltop,5,,
509,character,5,,
2523,sacrifice,5,,
1440,hundred,4,,
272,basis,4,,
1434,howdah,4,,
3127,verse,4,,
2325,province,4,,
2420,relief,4,,
1571,kalash,4,,
1764,mandir,4,,
2939,text,4,,
244,band,4,,
650,conservation,4,,
983,embankment,4,,
1970,necklace,4,,
834,depth,4,,
586,coconut,4,,
2876,sweet,4,,
2334,puppet,4,,
3123,veranda,4,,
1181,forehead,4,,
1654,learning,4,,
1171,folklore,4,,
1901,monolith,4,,
302,beginning,4,,
577,cm,4,,
2454,restaurant,4,,
440,capacity,4,,
3118,vehicle,4,,
3208,wind,4,,
1432,household,4,,
2720,snake,4,,
287,bay,4,,
2778,staff,4,,
463,casket,4,,
2455,restoration,4,,
781,dam,4,,
1130,film,4,,
1644,law,4,,
2877,swimming,4,,
848,destruction,4,,
232,backdrop,4,,
734,crore,4,,
640,conference,4,,
1588,kid,4,,
2287,princess,4,,
1591,kilometer,4,,
2015,officer,4,,
2031,orchard,4,,
2750,speciality,4,,
1029,erstwhile,4,,
2558,sati,4,,
2666,shop,4,,
2739,soul,4,,
749,cuisine,4,,
154,archway,4,,
