,Word,wcount,,
3064,truth,2,,
332,bishop,2,,
2374,rat,2,,
3087,unit,2,,
1850,method,2,,
3085,union,2,,
2369,ramp,2,,
3083,understanding,2,,
360,botany,2,,
1838,memorabilia,2,,
2358,radius,2,,
342,blood,2,,
365,bow,2,,
1833,mela,2,,
368,boy,2,,
341,blockade,2,,
1865,mill,2,,
2375,rate,2,,
400,bundelkhand,2,,
1827,medium,2,,
371,branch,2,,
1866,millennium,2,,
1823,medal,2,,
3075,twin,2,,
1819,meaning,2,,
3093,uprising,2,,
2378,ravage,2,,
3070,turquoise,2,,
386,britisher,2,,
389,brotherhood,2,,
334,bit,2,,
2383,rear,2,,
3095,usage,2,,
3114,vault,2,,
1732,machicolation,2,,
2323,protector,2,,
2988,tombstone,2,,
3129,vertebrate,2,,
1662,leisure,2,,
2985,tolerance,2,,
566,climb,2,,
2544,sandal,2,,
2449,resource,2,,
555,civilian,2,,
3026,traitor,2,,
2990,ton,2,,
552,citizen,2,,
2333,punishment,2,,
266,basadi,2,,
2996,topic,2,,
271,basilica,2,,
572,clothing,2,,
1657,lecture,2,,
1656,leather,2,,
579,coach,2,,
2979,tirthankara,2,,
2326,provision,2,,
1650,lead,2,,
1940,municipality,2,,
3131,vestibule,2,,
587,code,2,,
1943,murder,2,,
3133,vibration,2,,
594,collector,2,,
2460,revenue,2,,
597,colonnade,2,,
598,colony,2,,
1635,lane,2,,
537,chivalry,2,,
276,bat,2,,
2335,purana,2,,
505,channel,2,,
483,cellar,2,,
1911,mosaic,2,,
1723,lust,2,,
292,beam,2,,
291,bead,2,,
3021,trading,2,,
3020,trader,2,,
2429,repair,2,,
499,chaityas,2,,
1715,loss,2,,
288,bazaar,2,,
502,chance,2,,
3016,track,2,,
1710,log,2,,
1917,motion,2,,
281,batik,2,,
508,chapter,2,,
510,characteristic,2,,
2434,representative,2,,
1702,lizard,2,,
1701,living,2,,
285,battleground,2,,
2437,request,2,,
1921,mould,2,,
521,check,2,,
2439,rescue,2,,
2441,researcher,2,,
3004,total,2,,
526,chhajja,2,,
282,battery,2,,
738,crossing,2,,
725,crest,2,,
168,arrowhead,2,,
1293,gown,2,,
955,dwelling,2,,
1285,gopurams,2,,
1286,gopuras,2,,
1287,gorge,2,,
2783,stairway,2,,
2784,stall,2,,
1294,grab,2,,
3217,witness,2,,
1295,grace,2,,
1296,graduate,2,,
1297,graf,2,,
3221,woodcarving,2,,
946,duct,2,,
944,drum,2,,
956,dye,2,,
66,advent,2,,
3223,woodwork,2,,
2632,shadow,2,,
1274,glow,2,,
1273,glory,2,,
972,effect,2,,
2633,shah,2,,
976,election,2,,
1267,gift,2,,
982,elite,2,,
59,administrator,2,,
3227,working,2,,
48,achievement,2,,
989,employment,2,,
2767,sport,2,,
45,account,2,,
2107,passion,2,,
940,drinking,2,,
2817,storehouse,2,,
894,discus,2,,
2803,steam,2,,
77,aid,2,,
1332,gurdwara,2,,
2239,popularity,2,,
2805,steel,2,,
2093,parish,2,,
2812,stonewall,2,,
2789,standing,2,,
2089,pardon,2,,
888,diploma,2,,
887,dip,2,,
2603,security,2,,
2816,store,2,,
1353,handloom,2,,
76,agriculture,2,,
912,doctrine,2,,
1325,guesthouse,2,,
914,documentary,2,,
2615,separation,2,,
915,doesn,2,,
916,dog,2,,
2799,stature,2,,
1319,grove,2,,
2102,partition,2,,
2616,sequence,2,,
2103,party,2,,
2235,poojas,2,,
2791,starting,2,,
2620,servant,2,,
1308,grass,2,,
739,crowd,2,,
1254,generation,2,,
992,encloses,2,,
1252,gem,2,,
3255,zigzag,2,,
1093,famine,2,,
2178,pilaster,2,,
2719,snack,2,,
2177,pigeon,2,,
1080,fabric,2,,
2175,pier,2,,
1178,footstep,2,,
2223,poetry,2,,
3254,zenana,2,,
1183,forerunner,2,,
1071,expression,2,,
1070,exponent,2,,
12,1950s,2,,
1066,expertise,2,,
1094,fan,2,,
2716,slipper,2,,
1101,fashion,2,,
2182,pine,2,,
1110,feldspar,2,,
1156,float,2,,
2710,skyline,2,,
2183,pink,2,,
1153,flavour,2,,
2184,pinnacle,2,,
2709,sky,2,,
1115,fervor,2,,
2187,pistol,2,,
1116,fervour,2,,
2694,silverware,2,,
2695,similarity,2,,
3,14th,2,,
3253,zeal,2,,
14,1980s,2,,
2167,physic,2,,
1220,furnishing,2,,
2130,peauma,2,,
41,accessory,2,,
2133,pen,2,,
999,engine,2,,
1001,engineering,2,,
2650,shield,2,,
1002,engraving,2,,
2136,pendulum,2,,
1004,enlightenment,2,,
3242,yard,2,,
30,aartis,2,,
1009,entertainment,2,,
2143,periodical,2,,
1016,environment,2,,
1218,function,2,,
16,23rd,2,,
1216,fulfils,2,,
1215,fuel,2,,
1021,epitaph,2,,
2212,plethora,2,,
2667,shopper,2,,
2211,plenty,2,,
2157,philosopher,2,,
20,5th,2,,
19,3rd,2,,
3251,zamindars,2,,
2738,sort,2,,
2734,something,2,,
2208,play,2,,
1194,fossil,2,,
881,dignitary,2,,
935,draw,2,,
1359,harmony,2,,
3196,whale,2,,
776,dagger,2,,
2271,pre,2,,
2567,scenery,2,,
124,anthem,2,,
783,damdi,2,,
1429,hotspot,2,,
3189,wednesday,2,,
1427,hostel,2,,
1424,hospital,2,,
795,daula,2,,
3192,welcome,2,,
3193,welfare,2,,
1413,honey,2,,
813,deer,2,,
818,degree,2,,
820,delegate,2,,
2574,scientist,2,,
2575,scion,2,,
1405,hoisting,2,,
2576,score,2,,
1403,hoard,2,,
821,delicacy,2,,
2852,sultan,2,,
116,angle,2,,
114,angel,2,,
1438,humanity,2,,
1439,humility,2,,
1441,hunter,2,,
1462,immersion,2,,
1480,income,2,,
2025,opium,2,,
166,arrival,2,,
157,arena,2,,
153,archive,2,,
148,archeology,2,,
2552,sarai,2,,
2553,saree,2,,
2891,tablet,2,,
2036,organization,2,,
138,apsaras,2,,
3182,weaponry,2,,
2874,swan,2,,
2887,t,2,,
1458,illusion,2,,
135,apple,2,,
756,cupboard,2,,
2885,synagogue,2,,
3185,weaving,2,,
1451,idea,2,,
2044,outer,2,,
2564,scarcity,2,,
2048,oval,2,,
2878,swing,2,,
825,demolition,2,,
788,darbar,2,,
109,amusement,2,,
850,detailing,2,,
101,ambience,2,,
2251,possession,2,,
2594,seating,2,,
2075,pancha,2,,
2587,seal,2,,
105,amount,2,,
3200,white,2,,
841,designer,2,,
1386,hermitage,2,,
2581,scroll,2,,
1390,hide,2,,
2068,pair,2,,
2249,pose,2,,
2589,seashell,2,,
2828,stronghold,2,,
2827,strip,2,,
3203,whole,2,,
2832,stud,2,,
3101,vaisakh,1,,
3141,viewpoint,1,,
3159,volunteer,1,,
3098,utility,1,,
2275,precision,1,,
3105,van,1,,
2354,rabbit,1,,
2203,plasticity,1,,
3252,zari,1,,
3132,vetal,1,,
2276,predominant,1,,
2213,plinth,1,,
3106,vandalism,1,,
3167,warehouse,1,,
2238,populace,1,,
3142,vigil,1,,
3187,wedge,1,,
3184,weaver,1,,
2237,pooram,1,,
2209,plaza,1,,
2352,qutub,1,,
3250,yoginis,1,,
3202,whoever,1,,
2272,preacher,1,,
2316,prophecy,1,,
2273,preaching,1,,
3100,vahanas,1,,
3099,vahana,1,,
3161,waist,1,,
2351,quintessence,1,,
3160,wadas,1,,
2207,plating,1,,
3126,vermilion,1,,
3134,vice,1,,
2355,radiance,1,,
2197,planning,1,,
2357,radish,1,,
3170,warship,1,,
3136,victim,1,,
3175,waterway,1,,
2199,plantain,1,,
3091,uphill,1,,
2320,prosperity,1,,
2321,protagonist,1,,
2248,porul,1,,
2359,ragas,1,,
3089,universe,1,,
2361,railing,1,,
3210,winding,1,,
2362,railroad,1,,
3204,widow,1,,
2196,planner,1,,
2364,rain,1,,
2278,prescence,1,,
3216,withstood,1,,
2356,radio,1,,
3213,winner,1,,
3094,upstairs,1,,
2200,plantation,1,,
3201,who,1,,
3092,upmarket,1,,
2318,proportion,1,,
2324,provide,1,,
2319,proprietor,1,,
3177,wax,1,,
3256,zodiac,1,,
3179,waypoint,1,,
3168,warfare,1,,
2243,porridge,1,,
3257,zone,1,,
2244,port,1,,
2284,pride,1,,
2214,plot,1,,
3248,yew,1,,
3107,vanquish,1,,
2225,poison,1,,
2332,punareshwar,1,,
2226,police,1,,
3199,"while.,apart",1,,
3226,worker,1,,
2330,puja,1,,
2339,purview,1,,
3229,"workmanship.,there",1,,
3120,vendor,1,,
2227,polish,1,,
2263,practises,1,,
3232,worm,1,,
2300,producer,1,,
3191,weir,1,,
2266,prakarams,1,,
3235,wreck,1,,
3119,velvet,1,,
2233,pony,1,,
2337,purnima,1,,
2267,prasad,1,,
3150,vinegar,1,,
3146,villa,1,,
2258,pound,1,,
3125,verdant,1,,
2259,poverty,1,,
3149,vimana,1,,
3222,woodcraft,1,,
3145,vijay,1,,
3197,wheat,1,,
2228,polishing,1,,
2304,profit,1,,
2230,polythene,1,,
2336,purdah,1,,
2303,profession,1,,
2302,"products.,october",1,,
3121,veneration,1,,
2229,polygon,1,,
2340,pyramid,1,,
2299,processional,1,,
2314,propagation,1,,
2216,plum,1,,
2344,quadriform,1,,
2345,qualification,1,,
2313,proof,1,,
2269,pratishthapan,1,,
3244,"year.,other",1,,
3245,yellow,1,,
3246,yester,1,,
2254,poster,1,,
3111,vasantha,1,,
3156,vohras,1,,
2215,plough,1,,
3188,wedlock,1,,
2305,profusion,1,,
3110,vas,1,,
3108,variation,1,,
2347,quarry,1,,
2218,"pm.,the",1,,
2328,pseudonym,1,,
2341,pyre,1,,
2296,process,1,,
3115,veena,1,,
2222,poetess,1,,
2311,prominence,1,,
2342,quadrangle,1,,
2297,processing,1,,
3209,windblown,1,,
3236,wristlet,1,,
3113,vat,1,,
2294,procedure,1,,
2312,promotion,1,,
3237,write,1,,
3154,"visit.,but",1,,
3240,yagya,1,,
2343,quadrangular,1,,
3241,yaksha,1,,
3112,vase,1,,
3088,unity,1,,
2451,resplendent,1,,
2365,rainfall,1,,
2826,stretch,1,,
2600,sector,1,,
2819,storm,1,,
2821,strain,1,,
2822,stratum,1,,
2597,secretary,1,,
2596,secret,1,,
2825,stress,1,,
2595,secrecy,1,,
2592,seasoning,1,,
2846,succulent,1,,
2835,stuff,1,,
2588,search,1,,
2840,submarine,1,,
2841,subordinate,1,,
2842,subsidiary,1,,
2583,scrubber,1,,
2843,suburb,1,,
2582,scrub,1,,
2601,secularisation,1,,
2602,secularism,1,,
2814,stopover,1,,
2813,stop,1,,
2622,serviceman,1,,
2788,standard,1,,
2793,"state.,these",1,,
2795,"station.,buses",1,,
2796,statistic,1,,
2798,statuette,1,,
2802,staying,1,,
2614,senthooram,1,,
2613,sens,1,,
2612,seminary,1,,
2804,steed,1,,
2806,steeple,1,,
2808,stepwell,1,,
2809,stockade,1,,
2810,stomach,1,,
2608,selas,1,,
2607,segregation,1,,
2844,succession,1,,
2847,sugar,1,,
3086,uniqueness,1,,
2890,tableau,1,,
2562,saying,1,,
2561,saw,1,,
2560,saviour,1,,
2559,savagery,1,,
2888,tab,1,,
2557,sarson,1,,
2889,table,1,,
2555,sarod,1,,
2892,tagore,1,,
2848,sugarcane,1,,
2893,tahli,1,,
2551,sannidhi,1,,
2550,sankeerthana,1,,
2549,sankashti,1,,
2548,sanganer,1,,
2894,tail,1,,
2895,taj,1,,
2896,talaab,1,,
2884,"symbols.,apart",1,,
2883,symbolise,1,,
2565,scenario,1,,
2881,syllabus,1,,
2850,suit,1,,
2851,suitability,1,,
2577,scorpion,1,,
2572,schooner,1,,
2571,schoolchildren,1,,
2857,"sundays.,one",1,,
2861,superstructure,1,,
2568,scheme,1,,
2865,surasundaris,1,,
2868,"surroundings.,built",1,,
2869,"surroundings.,now",1,,
2870,survey,1,,
2871,surveying,1,,
2872,survivor,1,,
2873,svayambhu,1,,
2875,sweeper,1,,
2880,syle,1,,
2623,sesame,1,,
2785,stalwart,1,,
2624,sessionsby,1,,
2673,showcase,1,,
2726,sofa,1,,
2728,sol,1,,
2729,solace,1,,
2675,shrimurties,1,,
2731,solitude,1,,
2732,solution,1,,
2674,shrichakra,1,,
2733,somawara,1,,
2737,sorrow,1,,
2780,stain,1,,
2740,sound,1,,
2671,shoulder,1,,
2743,southeast,1,,
2670,shoreline,1,,
2744,southernmost,1,,
2746,space,1,,
2747,spark,1,,
2748,spate,1,,
2725,socle,1,,
2677,"shrine.,some",1,,
2724,socio,1,,
2678,sibling,1,,
2699,singing,1,,
2702,situ,1,,
2696,simplicity,1,,
2703,sixty,1,,
2705,skating,1,,
2691,sila,1,,
2690,signpost,1,,
2688,signature,1,,
2687,signalling,1,,
2686,signal,1,,
2712,slant,1,,
2714,sleep,1,,
2680,siddhi,1,,
2679,sickle,1,,
2718,smokescreen,1,,
2721,snow,1,,
2722,snowlines,1,,
2751,specialty,1,,
2754,spectacle,1,,
2755,spectrograph,1,,
2645,sheen,1,,
2643,shastras,1,,
2642,sharecropper,1,,
2641,share,1,,
2639,shantipur,1,,
2638,shankh,1,,
2637,shank,1,,
2636,shala,1,,
2769,spout,1,,
2770,spree,1,,
2634,shaili,1,,
2772,sprinkler,1,,
2631,shade,1,,
2630,sewing,1,,
2776,stack,1,,
2777,stadium,1,,
2629,sewerage,1,,
2628,settler,1,,
2644,sheath,1,,
2646,sheet,1,,
2756,spectroheliograph,1,,
2766,spoon,1,,
2757,speech,1,,
2664,shivlinga,1,,
2663,shivalingas,1,,
2662,shivalingam,1,,
2758,spider,1,,
2660,shipyard,1,,
2659,shipbuilding,1,,
2759,spike,1,,
2657,shillong,1,,
2760,spine,1,,
2654,shikhar,1,,
2653,shikara,1,,
2763,splash,1,,
2652,shikan,1,,
2651,shifting,1,,
2649,shepherd,1,,
2765,sponge,1,,
2546,sandhara,1,,
2545,sandalwood,1,,
2898,talent,1,,
3033,transporter,1,,
3017,tractor,1,,
3019,trademark,1,,
2428,renown,1,,
3023,trail,1,,
2426,renaissance,1,,
3027,trance,1,,
3028,tranquillity,1,,
3030,transition,1,,
3034,trap,1,,
2980,tirthankaras,1,,
3037,traversal,1,,
2418,relevance,1,,
3038,trawler,1,,
2417,release,1,,
2416,relative,1,,
2414,relation,1,,
2413,rekha,1,,
3042,treatment,1,,
2430,repertory,1,,
3015,tracery,1,,
3014,trace,1,,
2435,reptile,1,,
2984,token,1,,
2986,toll,1,,
2989,tomorrow,1,,
2446,residency,1,,
2992,tonne,1,,
2994,tooth,1,,
2997,topkhana,1,,
2998,topography,1,,
3000,toranas,1,,
3001,torans,1,,
3002,torpedo,1,,
2443,reserve,1,,
3003,tortoise,1,,
3007,tourism,1,,
3009,tourmaline,1,,
2438,requirement,1,,
2436,reputation,1,,
2410,regula,1,,
2409,regret,1,,
2406,regalia,1,,
3065,tryanga,1,,
3068,turban,1,,
2381,rayakottah,1,,
2379,rave,1,,
3072,turtle,1,,
3073,tusk,1,,
2377,rathas,1,,
3077,typhoon,1,,
3078,ud,1,,
2373,rank,1,,
3080,unani,1,,
3081,uncle,1,,
2370,rampage,1,,
3082,underground,1,,
3084,undertaking,1,,
2368,rajput,1,,
2367,rajagopuram,1,,
2366,rainwater,1,,
3066,tune,1,,
2385,rebellion,1,,
3049,tribals,1,,
3063,trusty,1,,
2404,refreshment,1,,
2403,reformist,1,,
2402,reform,1,,
2399,redoubt,1,,
2398,red,1,,
2397,recruitment,1,,
3054,trinket,1,,
3056,triumph,1,,
2393,reconnaissance,1,,
2392,recognition,1,,
2391,recital,1,,
2390,recession,1,,
3059,trough,1,,
2388,reception,1,,
2387,recall,1,,
3060,trumpet,1,,
2386,rebirth,1,,
2983,toilet,1,,
2978,tirthankar,1,,
2899,taluk,1,,
2515,ruling,1,,
2522,sabha,1,,
2923,"temple.,if",1,,
2924,"temple.,one",1,,
2521,s.,1,,
2520,s,1,,
2519,rust,1,,
2518,rush,1,,
2925,"temple.,situated",1,,
2926,"temple.,while",1,,
2977,tip,1,,
2927,tempo,1,,
2511,rug,1,,
2510,ruff,1,,
2509,rudraksh,1,,
2928,tennis,1,,
2507,rs30/-,1,,
2506,rs.50/-,1,,
2937,testimonial,1,,
2922,"temple.,besides",1,,
2920,template,1,,
2524,safari,1,,
2918,telescope,1,,
2900,taluka,1,,
2903,tapasya,1,,
2904,tapestry,1,,
2539,sample,1,,
2538,samaj,1,,
2536,sam,1,,
2535,salvation,1,,
2533,sale,1,,
2912,tech,1,,
2532,salabhanjikas,1,,
2531,sakhas,1,,
2914,technology,1,,
2915,teeth,1,,
2528,sahib,1,,
2916,tehsildar,1,,
2526,sagar,1,,
2917,telephone,1,,
2941,texture,1,,
2942,thalamboo,1,,
2500,roti,1,,
2959,thirthankars,1,,
2476,ringing,1,,
2475,ringa,1,,
2472,rikhabdevji,1,,
2963,threat,1,,
2965,throng,1,,
2469,rider,1,,
2967,tiffin,1,,
2465,reward,1,,
2970,tilework,1,,
2463,revolution,1,,
2462,revolt,1,,
2461,revetment,1,,
2973,timeless,1,,
2459,revenge,1,,
2974,timelessness,1,,
2458,return,1,,
2976,tin,1,,
2960,thirumanam,1,,
2478,rishabhanath,1,,
2498,rose,1,,
2479,rishis,1,,
2943,thanjavur,1,,
2944,thanks,1,,
2493,roofed,1,,
2945,thatch,1,,
2946,theater,1,,
2948,"theatre.,jawahar",1,,
2949,theertham,1,,
2951,"them.,devotees",1,,
2953,"then.,one",1,,
2487,rivulet,1,,
2486,riverfront,1,,
2485,riverbed,1,,
2955,thief,1,,
2957,third,1,,
2958,thirtankar,1,,
2481,rite,1,,
2480,risk,1,,
2715,slide,1,,
0,%,1,,
2193,plane,1,,
708,cracker,1,,
741,crucifix,1,,
737,crossbeam,1,,
736,crossbar,1,,
731,crockery,1,,
730,criminal,1,,
729,cricketer,1,,
728,cricket,1,,
727,crib,1,,
726,crew,1,,
724,crescent,1,,
723,crenellation,1,,
715,creativity,1,,
713,cream,1,,
712,crater,1,,
707,crack,1,,
674,coping,1,,
706,cowherd,1,,
704,covering,1,,
703,cover,1,,
702,"courtyard.,a",1,,
696,countryside,1,,
694,counterpart,1,,
693,countenance,1,,
690,cotta,1,,
686,correlate,1,,
685,corpse,1,,
682,core,1,,
681,corbel,1,,
680,"coral.,navaratri",1,,
679,coral,1,,
742,crude,1,,
743,cruise,1,,
744,cry,1,,
745,crypt,1,,
800,deal,1,,
798,dawra,1,,
796,daulah,1,,
792,"darwaza.,sangin",1,,
790,darling,1,,
784,damsel,1,,
780,dalliance,1,,
779,dalan,1,,
778,dairy,1,,
777,"daily.,devotees",1,,
775,dabar,1,,
774,d,1,,
773,cylindrical,1,,
772,cyclone,1,,
770,cuttack,1,,
769,cutlery,1,,
766,custody,1,,
765,cusp,1,,
764,cushion,1,,
763,curvilinear,1,,
761,curriculum,1,,
760,current,1,,
759,curing,1,,
758,curd,1,,
755,cup,1,,
753,culvert,1,,
751,cultivation,1,,
748,cubicle,1,,
747,cube,1,,
676,copperware,1,,
673,coordination,1,,
1067,explanation,1,,
583,coating,1,,
617,compassion,1,,
616,compartment,1,,
615,comparison,1,,
611,communist,1,,
610,communism,1,,
609,commonwealth,1,,
608,common,1,,
599,color,1,,
592,collecting,1,,
591,collectible,1,,
590,collaboration,1,,
588,coil,1,,
585,coco,1,,
584,cockle,1,,
582,coat,1,,
672,cooperation,1,,
580,coalition,1,,
578,co,1,,
575,clue,1,,
574,club,1,,
573,cloud,1,,
569,closure,1,,
568,cloister,1,,
565,climate,1,,
562,classification,1,,
560,clapping,1,,
558,clam,1,,
554,"city.,apart",1,,
551,citadel-,1,,
547,circular,1,,
618,compensation,1,,
619,competition,1,,
622,"complex.,bibi",1,,
623,compliment,1,,
671,convergence,1,,
669,convenience,1,,
668,controversy,1,,
664,contradiction,1,,
663,contingent,1,,
662,continent,1,,
661,content,1,,
658,consultant,1,,
656,construct,1,,
655,constitution,1,,
653,consolidator,1,,
652,consists,1,,
651,consisting,1,,
649,consecration,1,,
648,conqueror,1,,
647,connoisseur,1,,
646,connectivity,1,,
645,connection,1,,
644,connect,1,,
643,congregation,1,,
642,confrontation,1,,
639,cone,1,,
637,concubine,1,,
633,conception,1,,
631,comrade,1,,
629,comprising,1,,
626,composition,1,,
625,composer,1,,
624,component,1,,
802,deathlessness,1,,
804,decision,1,,
805,declination,1,,
964,eatery,1,,
1003,enhancement,1,,
998,energy,1,,
996,endowment,1,,
994,encompass,1,,
991,enamel,1,,
990,empress,1,,
986,embroidery,1,,
985,embrasure,1,,
984,emblem,1,,
980,"elephants.,since",1,,
975,elder,1,,
974,egg,1,,
967,ecology,1,,
965,ebony,1,,
959,e,1,,
806,decline,1,,
957,dynamic,1,,
954,duty,1,,
952,durbar,1,,
951,duration,1,,
949,dune,1,,
948,dump,1,,
947,dug,1,,
945,duck,1,,
943,drop,1,,
941,dripping,1,,
936,drawbridge,1,,
934,draper,1,,
933,dramatist,1,,
931,drainage,1,,
1005,ensemble,1,,
1006,enshrines,1,,
1007,enter,1,,
1008,enterprise,1,,
1063,expense,1,,
1062,expedition,1,,
1061,expanse,1,,
1060,exit,1,,
1058,"exile.,as",1,,
1056,exhibitis,1,,
1054,exhibitings,1,,
1052,exercise,1,,
1051,excitement,1,,
1050,exchange,1,,
1049,exception,1,,
1044,evil,1,,
1042,everything,1,,
1041,everydaydaily,1,,
1040,everyday,1,,
1039,evergreen,1,,
1035,eunuch,1,,
1034,eternity,1,,
1031,essence,1,,
1030,escarpment,1,,
1028,errant,1,,
1027,erosion,1,,
1026,"era.,a",1,,
1023,equality,1,,
1022,epitome,1,,
1019,epigram,1,,
1017,envy,1,,
1013,entirety,1,,
1010,enthrals,1,,
930,drain,1,,
928,draft,1,,
927,downhill,1,,
865,dharamshala,1,,
863,dham,1,,
862,dhaba,1,,
861,dexterity,1,,
860,devta,1,,
859,devout,1,,
857,devotes,1,,
856,"devotees.,devotees",1,,
853,dev,1,,
852,deulti,1,,
847,destroyer,1,,
845,despair,1,,
844,desire,1,,
843,"designs.,since",1,,
839,desert,1,,
836,desams,1,,
835,dera,1,,
833,depot,1,,
832,depicts,1,,
830,depict,1,,
828,denomination,1,,
827,demonstration,1,,
824,democracy,1,,
823,demise,1,,
817,deflection,1,,
814,deerskin,1,,
812,deepam,1,,
810,dedication,1,,
809,decree,1,,
807,decor,1,,
864,dhams,1,,
866,dharamshalas,1,,
925,doorkeeper,1,,
867,dharma,1,,
923,doongar,1,,
920,domain,1,,
919,dolmen,1,,
917,doli,1,,
911,doctor,1,,
910,divya,1,,
908,divinity,1,,
907,diversity,1,,
905,distribution,1,,
903,dissolution,1,,
902,disqualification,1,,
900,disobedience,1,,
899,disintegration,1,,
897,disguise,1,,
895,discussion,1,,
893,discovery,1,,
892,discipline,1,,
890,disc,1,,
886,diocese,1,,
885,dinner,1,,
880,dighi,1,,
879,difficulty,1,,
874,dial,1,,
873,diagram,1,,
872,dhoti,1,,
871,dhoop,1,,
870,dhava,1,,
869,dharmasala,1,,
868,dharmachakra,1,,
546,circuit,1,,
545,circle,1,,
544,cinema,1,,
147,archbishop,1,,
198,astronomy,1,,
196,astra,1,,
195,assurer,1,,
191,asset,1,,
187,ashrama,1,,
183,ascent,1,,
182,ascends,1,,
181,arudra,1,,
177,artisanship,1,,
172,arti,1,,
165,arrest,1,,
155,ardhamandapa,1,,
152,architrave,1,,
149,archipelago,1,,
146,archana,1,,
265,barrier,1,,
141,arc,1,,
140,aqueduct,1,,
139,aquarium,1,,
137,approval,1,,
136,approach,1,,
133,appeal,1,,
132,appal,1,,
130,anxiety,1,,
127,antidote,1,,
125,anthology,1,,
123,antenna,1,,
122,antarala,1,,
120,annexe,1,,
119,annexation,1,,
199,asuran,1,,
200,asylum,1,,
203,atrocity,1,,
205,attar,1,,
261,baroque,1,,
260,barley,1,,
259,bark,1,,
258,barhadri,1,,
257,barfi,1,,
256,bard,1,,
255,baradaris,1,,
254,baradari,1,,
253,baori,1,,
252,baolis,1,,
250,baodi,1,,
247,banias,1,,
245,"bangalore.,one",1,,
243,banana,1,,
241,balwariya,1,,
236,baffle,1,,
235,badgir,1,,
234,backpacker,1,,
230,baby,1,,
228,azimuth,1,,
227,ayikkotta,1,,
225,awwal,1,,
224,awe,1,,
222,avenue,1,,
219,automobile,1,,
215,aunt,1,,
212,attribute,1,,
211,"attractions.,october",1,,
207,attendant,1,,
117,angrabadi,1,,
115,anger,1,,
113,anemone,1,,
56,ade,1,,
51,activist,1,,
50,act,1,,
47,ace,1,,
46,accoutrement,1,,
44,accomodation,1,,
42,accident,1,,
40,accessibility,1,,
38,academy,1,,
37,acacia,1,,
36,abundance,1,,
35,absorption,1,,
34,absence,1,,
33,about81.25,1,,
31,abalone,1,,
28,aarati,1,,
27,aam,1,,
26,a.g.office,1,,
24,a.,1,,
23,9th,1,,
22,8th,1,,
18,3-storey,1,,
17,2nd,1,,
15,1st,1,,
13,1970s,1,,
10,18th,1,,
9,17th,1,,
7,1660s,1,,
6,1640s,1,,
5,1600s,1,,
53,actor,1,,
57,adivasi,1,,
112,and1887,1,,
60,admiration,1,,
111,ancient,1,,
108,amrit,1,,
107,amplification,1,,
106,amphitheatre,1,,
103,amenity,1,,
102,ambit,1,,
99,amazement,1,,
98,amavasya,1,,
96,amalgam,1,,
95,amalaka,1,,
93,aluminium,1,,
90,aloe,1,,
89,alliance,1,,
88,alcove,1,,
87,alabaster,1,,
86,akimbo,1,,
84,airy,1,,
83,airstrip,1,,
81,airplane,1,,
80,aircraft,1,,
74,aggression,1,,
72,agama,1,,
71,afternoon,1,,
69,aesthetic,1,,
68,aerodrome,1,,
67,adviser,1,,
65,advantage,1,,
64,advancement,1,,
62,"adorned.,one",1,,
264,barricade,1,,
267,basalt,1,,
542,chunam,1,,
447,carat,1,,
473,catholic,1,,
471,category,1,,
470,catalogue,1,,
469,catacomb,1,,
468,casuarina,1,,
467,casualty,1,,
461,cascade,1,,
459,carve,1,,
458,cartoonist,1,,
454,carpentry,1,,
453,carnelian,1,,
452,caretaker,1,,
450,cardexes,1,,
449,cardamom,1,,
446,carafe,1,,
270,basic,1,,
444,capture,1,,
443,captain,1,,
441,cape,1,,
433,candidate,1,,
430,camping,1,,
429,camphor,1,,
428,campfire,1,,
420,calangute,1,,
419,cafeteria,1,,
418,cafe,1,,
417,cactus,1,,
416,cabinet,1,,
413,buying,1,,
412,buttermilk,1,,
474,cattle,1,,
475,cauldron,1,,
476,cause,1,,
478,cd,1,,
540,chor,1,,
539,choir,1,,
538,choice,1,,
536,chitra,1,,
535,chishtiya,1,,
534,chime,1,,
533,"children.,one",1,,
525,chest,1,,
524,chess,1,,
523,chenduram,1,,
522,chemistry,1,,
520,chaumurti,1,,
519,chaukhandis,1,,
518,chattris,1,,
515,"charges.,if",1,,
513,charcoal,1,,
512,charbagh,1,,
511,charaideo,1,,
507,chaplain,1,,
504,change,1,,
500,chakra,1,,
498,chaitya,1,,
497,chair,1,,
495,chabutras,1,,
493,cereal,1,,
490,centimetre,1,,
488,centenary,1,,
485,cementing,1,,
479,ce,1,,
410,butter,1,,
409,bust,1,,
404,burj,1,,
333,bison,1,,
325,biology,1,,
324,bin,1,,
323,billiards,1,,
322,bike,1,,
321,bidar,1,,
320,bicycle,1,,
318,bhavans,1,,
317,bharadhwaja,1,,
316,bhansali,1,,
315,bhandarej,1,,
314,bhairavas,1,,
313,bhadrapad,1,,
312,benefit,1,,
310,bench,1,,
308,belly,1,,
304,belfry,1,,
301,beetle,1,,
299,bedroom,1,,
298,bedchamber,1,,
297,bed,1,,
295,beat,1,,
294,beard,1,,
293,bear,1,,
289,bc,1,,
284,battlefield,1,,
280,bathroom,1,,
277,batch,1,,
274,basket,1,,
273,"basis.,one",1,,
326,biotechnology,1,,
335,blanket,1,,
403,burial,1,,
336,blast,1,,
402,burans,1,,
399,bullet,1,,
397,bulk,1,,
