,Attraction,Keywords
1619,Rajiv Gandhi Memorial ,"['memorial', 'pillar', 'granite', 'blast', 'concept', 'town', 'site', 'land', 'death', 'ancient', 'cost', 'inr21.15', 'crore', 'nation', 'platform', 'acre', 'construction', 'statue', 'stonewall', 'bomb']"
1620,Rajivalochana Temple ,"['temple', 'shrine', 'bank', 'river', 'window', 'figure', 'goddess', 'motif', 'design', 'architecture', 'incarnation', 'confluence', 'snake', 'century', 'nagins', 'chaitya', 'entrance', 'one', 'proximity', 'sculpture']"
1621,Rajpath ,"['building', 'word', 'block', 'park', 'water', 'museum', 'pool', 'construction', 'side', 'art', 'venue', 'garden']"
1622,Rajwada ,"['palace', 'style', 'structure', 'entrance', 'floor', 'city', 'room', 'element', 'music', 'beauty', 'stud', 'part', 'lie', 'exhibition', 'courtyard', 'iron', 'window', 'art', 'attraction', 'centre']"
1623,Rallabandi Subbarao Government Museum ,"['inscription', 'palm', 'item', 'pottery', 'manuscript', 'leaf', 'coin', 'heritage', 'collection']"
1624,Ram Chandra Shahi Museum ,"['art', 'collection', 'museum', 'stamp', 'object', 'premise', 'artefact', 'postage']"
1625,Raghunath Mandir ,"['shrine', 'god', 'deity', 'worship', 'inscription', 'reserve', 'side', 'city', 'goddess', 'collection', 'figurine', 'family', 'temple', 'sanctum', 'son', 'gallery', 'statue', 'wall', 'entrance', 'construction']"
1626,Ram Janardhan Mandir ,"['century', 'shrine', 'painting', 'beauty', 'eye', 'wall', 'period', 'style', 'king', 'sculpture', 'structure', 'example', 'charm']"
1627,Raj Mahal ,"['style', 'reign', 'acre', 'heritage', 'area', 'entrance', 'architecture', 'palace']"
1628,Rajwada ,"['building', 'edifice', 'style', 'combination', 'structure', 'monument', 'statue', 'festival', 'era', 'shrine', 'history', 'attraction', 'entrance', 'architecture', 'town', 'storey', 'tourist', 'exhibit', 'heart', 'foundation']"
1629,Ram Mandir ,"['temple', 'attraction', 'spire', 'image', 'heart', 'marble', 'shrine', 'trust', 'ochre', 'part', 'idol', 'god', 'city', 'capital']"
1630,Ramalinga Vilas Palace ,"['palace', 'king', 'museum', 'mural', 'goddess', 'gun', 'antiquity', 'warfare', 'city', 'contact', 'battle', 'iron', 'sword', 'boomerang', 'lifestyle', 'ruler', 'god', 'spear', 'weapon', 'distance']"
1631,Ramana Ashram ,"['ashram', 'life', 'fact', 'temple', 'philosophy', 'truth', 'teaching', 'service', 'cave', 'vision', 'information', 'legend']"
1632,Ramanathaswamy Temple ,"['temple', 'metre', 'side', 'foot', 'kundams', 'pillar', 'corridor', 'century', 'bath', 'prayer', 'sculpture', 'east', 'epic', 'day', 'hour', 'property', 'reign', 'pooja', 'deity', 'm']"
1633,Ramappa Temple ,"['temple', 'carving', 'statue', 'scale', 'exhibit', 'entrance', 'wall', 'traveller', 'festival', 'platform', 'century', 'story', 'style', 'star', 'rule']"
1634,Ramathra Fort ,"['fort', 'lake', 'irrigation', 'idol', 'ad', 'fiefdom', 'scrub', 'canal', 'part', 'premise', 'bird', 'tourist', 'distance', 'lie', 'family', 'son', 'km', 'farmland', 'farming', 'craftsmanship']"
1635,Rameswar Temple ,"['temple', 'day', 'site', 'worship', 'legend', 'folklore', 'distance', 'state', 'purpose', 'chariot', 'century', 'devotion', 'ad', 'victory', 'km']"
1636,Ramgarh Fort ,"['fort', 'room', 'view', 'mosaic', 'hotel', 'door', 'distance', 'sea', 'year', 'sun', 'hill', 'height', 'km', 'tunnel', 'monument', 'well', 'location', 'ruler', 'level', 'architecture']"
1637,Ramgarh Tal ,"['spot', 'embankment', 'area', 'hectare', 'site', 'heritage', 'lake', 'km']"
1638,Ramnagar Fort ,"['fort', 'temple', 'stone', 'rickshaw', 'family', 'attraction', 'month', 'week', 'river', 'festival', 'hall', 'audience', 'centre', 'city', 'taxi', 'legend', 'tourist', 'auto', 'cycle', 'year']"
1639,Ramnagar Museum ,"['museum', 'period', 'artefact', 'item', 'rickshaw', 'collection', 'family', 'palanquin', 'gold', 'auto', 'art', 'elephant', 'tourist', 'howdah', 'arm', 'kind', 'chair', 'destination', 'handicraft', 'cycle']"
1640,Rana Kumbha Palace ,"['palace', 'cellar', 'folk', 'monument', 'attraction', 'market', 'shopper', 'site', 'stable', 'architecture', 'story', 'visit', 'life', 'temple', 'century', 'fort', 'woman', 'tourist', 'horse', 'specimen']"
1641,Ranakpur Jain Temple ,"['temple', 'century', 'complex', 'wonder', 'businessman', 'area', 'centre', 'construction', 'world', 'foot', 'shah', 'attraction', 'sq', 'part', 'pilgrimage', 'marble', 'architecture', 'condition', 'window', 'district']"
1642,Ranakpur Jain Temples ,"['temple', 'carving', 'merchant', 'hall', 'shrine', 'pillar', 'warrior', 'centre', 'tourist', 'route', 'sculpture', 'century', 'saint', 'statue', 'minister', 'wall', 'horse', 'construction', 'distance', 'museum']"
1643,Ranbireshwar Temple ,"['shivalingas', 'temple', 'height', 'image', 'mode', 'shivalinga', 'transportation', 'destination', 'foot', 'crystal', 'cm', 'centre', 'shrine', 'hall']"
1644,Ranchi Museum ,"['terracottas', 'display', 'item', 'implement', 'object', 'arm', 'sculpture', 'numismatics', 'stone']"
1645,Rang Ghar ,"['family', 'attraction', 'oval', 'pavilion', 'sport', 'tourist', 'storey', 'event', 'dynasty']"
1646,Rang Mahal ,"['palace', 'wife', 'room', 'tourist', 'residence', 'lotus', 'ruler', 'museum', 'water', 'pipe', 'fountain', 'guard', 'ceiling', 'emperor', 'rule', 'silver', 'marble', 'line', 'gold', 'base']"
1647,Rangeshwar Mahadev Temple ,"['temple', 'birthplace', 'city']"
1648,Rangin Mahal ,"['column', 'entrance', 'monument', 'room', 'frame', 'arch', 'capital', 'form', 'mid-16th', 'verse', 'hall', 'tilework', 'century', 'bay', 'bracket', 'complex', 'wood', 'mahal']"
1649,Rangji Temple ,"['temple', 'style', 'peek', 'preserver', 'incarnation', 'front', 'gatekeeper', 'gate', 'structure', 'architecture', 'image', 'point']"
1650,Rangla Punjab Haveli ,"['resort', 'village', 'winter', 'ambience', 'age', 'background', 'roti', 'delicacy', 'flavour', 'enclosure', 'eatery', 'evening', 'sarson', 'kurta', 'collection', 'marriage', 'dish', 'programme', 'dhaba', 'charm']"
1651,Rangnagad Fort ,"['fort', 'level', 'reign', 'control', 'height', 'ft', 'fortress', 'sea']"
1652,Rani Charak Mahal ,"['monument', 'house', 'bank', 'throne', 'stone', 'idol', 'arch', 'predominant', 'palace', 'era', 'year', 'treasury', 'part', 'style', 'government', 'artefact', 'premise', 'palanquin', 'utensil', 'office']"
1653,Rani Rupmati Mosque ,"['mosque', 'dome', 'style', 'carving', 'amalgamation', 'pillar', 'architecture', 'ceiling', 'hall', 'wife', 'pattern', 'prayer', 'sunlight']"
1654,Rani Sipri's Mosque ,"['mosque', 'style', 'carving', 'work', 'minaret', 'ad', 'area', 'wife', 'design', 'architecture', 'part', 'decoration', 'pattern', 'tree', 'jewel', 'blend', 'woman', 'mixture', 'plant']"
1655,Raniji Ki Baoli ,"['ki', 'stone', 'entrance', 'pillar', 'bracket', 'well', 'step', 'top', 'queen', 'foot', 'stand', 'role', 'life', 'baolis', 'structure', 'baoli', 'niche', 'gateway', 'town', 'roof']"
1656,Raniji Ki Baori ,"['pillar', 'park', 'torana', 'stone', 'structure', 'site', 'queen', 'statue', 'step', 'well', 'ft', 'corner', 'entrance', 'elephant', 'depth', 'm', 'town', 'gateway', 'ki']"
1657,Ranthambhore Fort ,"['fort', 'time', 'temple', 'desert', 'one', 'premise', 'mosque', 'century', 'din', 'ruler', 'hill', 'top', 'importance']"
1658,Rao Madho Singh Museum ,"['museum', 'ruler', 'painting', 'mural', 'coin', 'exhibitis', 'time', 'palace', 'era', 'epigram', 'figurine', 'sculpture', 'silver', 'utensil', 'fresco', 'item', 'armoury', 'manuscript', 'manner']"
1659,Rashtriya Shala ,"['institute', 'segment', 'movement', 'shala', 'help', 'activity', 'life', 'event', 'fight', 'leader', 'land', 'importance', 'independence', 'souvenir', 'cooperation', 'yard']"
1660,Rasik Bihari Temple ,"['temple', 'hall', 'meeting', 'door', 'idol', 'statue', 'parikrama', 'maintenance', 'management', 'deity', 'part', 'side', 'gallery', 'purview', 'rest', 'stone']"
1661,Rasiya Ke Tekri ,"['governor', 'memory', 'song', 'monument', 'love', 'lover']"
1662,Ratnadurg Fort ,"['fort', 'shrine', 'town', 'shoe', 'm.', 'm', 'century', 'decade', 'bastion', 'property', 'vetal', 'year', 'distance', 'width', 'attraction', 'length', 'rule', 'center', 'part', 'horse']"
1663,Ratnagiri Temple ,"['temple', 'form', 'worship', 'festival', 'deepam', 'wife', 'kavadi', 'kiruthigai', 'chariot', 'month', 'silver', 'deity', 'gold', 'shrine', 'idol']"
1664,Ravadurg Gooty Fort ,"['fort', 'inscription', 'wall', 'gymnasium', 'fortress', 'pavilion', 'edifice', 'shape', 'series', 'magazine', 'seat', 'cliff', 'date', 'shell', 'edge', 'hill', 'bastion', 'century', 'limestone', 'door']"
1665,Ravana Phadi ,"['carving', 'entrance', 'temple', 'sanctum', 'dancing', 'rock', 'pillar', 'veranda', 'wall', 'mantapas', 'century', 'hall', 'posture', 'east', 'shrine', 'ad']"
1666,Rayakottah ,"['fort', 'rayakottah', 'distance', 'border', 'hill', 'monument', 'km']"
1667,Rayaparthy Shiva Temple ,"['century', 'temple', 'carving', 'wall', 'inscription']"
1668,Red Fort ,"['fort', 'colonial', 'work', 'residence', 'structure', 'monument', 'area', 'capital', 'cantonment', 'grandeur', 'year', 'control', 'ruler', 'century', 'rule', 'snack', 'construction', 'tea', 'tourist', 'exile']"
1669,Regional Museum Of Natural History ,"['museum', 'imparts', 'attraction', 'city', 'opportunity', 'flora', 'bank', 'animal', 'year', 'knowledge', 'hill', 'interrelationship', 'exhibit', 'fauna', 'wealth', 'nature', 'foot', 'gallery', 'aid', 'model']"
1670,Regional Science Centre ,"['centre', 'facility', 'science', 'visitor', 'capacity', 'energy', 'seating', 'fun', 'hall', 'planetarium', 'gallery', 'exhibit', 'fuel', 'show', 'form', 'issue', 'gas', 'park', 'board', 'line']"
1671,Reis Magos Fort ,"['fort', 'church', 'men', 'king', 'government', 'lion', 'house', 'state', 'feature', 'jail', 'room', 'ruin', 'tomb', 'liberation', 'graveyard', 'invader', 'relief', 'religion', 'calangute', 'name']"
1672,Remains Of Garhgachh ,"['remains', 'century', 'temple', 'site']"
1673,Revansiddeshwar Temple ,"['temple', 'chamber', 'saint', 'market', 'stone', 'basement', 'idol', 'animal']"
1674,Rewa Fort ,"['fort', 'attraction', 'vicinity', 'work', 'repair', 'construction', 'tourist', 'son', 'help']"
1675,Rhino Heritage Museum ,[]
1676,Rishabhadeva Temple ,"['temple', 'style', 'bank', 'corridor', 'expertise', 'atmosphere', 'facade', 'century', 'architecture']"
1677,Riverside Palace ,"['style', 'son', 'room', 'chandelier', 'furniture', 'hotel', 'palace', 'living', 'descendant', 'sofa', 'heritage']"
1678,Rock Fort ,"['rock', 'temple', 'fort', 'tank', 'year', 'statue', 'form', 'contribution', 'people', 'foot', 'part', 'material', 'complex', 'float', 'attraction', 'feldspar', 'combination', 'quartz', 'world', 'comprises']"
1679,Rohtasgarh Fort ,"['fort', 'mile', 'hill', 'family', 'remains', 'entry', 'circumference', 'area', 'city', 'passage', 'shelter', 'north', 'safety', 'plateau', 'gate', 'treasure', 'south', 'west', 'east', 'km']"
1680,Roopangarh Fort ,"['elegance', 'passageway', 'hotel', 'fire', 'monument', 'log', 'king', 'luxury', 'lifestyle', 'armory', 'royal', 'century', 'foundry', 'jail', 'fort', 'furniture', 'granary']"
1681,Roorkee Group Museum And Archives ,"['museum', 'painting', 'army', 'number', 'photograph', 'book', 'medal', 'weapon', 'pamphlet', 'document', 'portrait']"
1682,Rotary Midtown Dolls Museum ,"['museum', 'world', 'movie', 'doll', 'child', 'attraction', 'culture', 'number', 'medium', 'cd', 'country', 'cinema', 'theatre', 'entertainment', 'video', 'insight', 'touch', 'multimedia', 'view', 'tradition']"
1683,Royal Gaitor Tumbas ,"['site', 'cenotaph', 'cremation', 'carving', 'entry', 'family', 'city', 'death', 'day', 'fee', 'foothill', 'panorama', 'whole', 'taste', 'km', 'time', 'pm', 'timing', 'tourist', 'view']"
1684,Royal Palace ,"['family', 'attraction', 'region', 'township', 'complex', 'site', 'entrance', 'village', 'yesteryear']"
1685,Ruins Of Nalanda University ,"['ruin', 'teacher', 'attraction', 'century', 'centre', 'book', 'student', 'site', 'town', 'university', 'invader', 'km']"
1686,Rukmini Nati ,"['century', 'period', 'heart', 'civilisation', 'ruin', 'brick', '14th', 'progress', 'visitor', 'fort', 'km']"
1687,Rupayan Museum ,"['people', 'tool', 'craft', 'museum']"
1688,Sabarmati Ashram ,"['ashram', 'life', 'museum', 'tour', 'library', 'minute', 'part', 'movement', 'gallery', 'visitor', 'photo', 'book', 'archive', 'message', 'today', 'bank', 'freedom', 'periodical', 'trust', 'collection']"
1689,Sachcha Baba Ashram ,[]
1690,Sadar Manzil ,"['floor', 'room', 'gate', 'stage', 'city', 'tourist', 'men', 'side', 'terrace', 'seat', 'woman', 'development', 'plenty', 'architecture', 'taxi', 'centre', 'ground', 'staircase', 'corner', 'rise']"
1691,Sadul Singh Museum ,"['museum', 'king', 'sightseeing', 'painting', 'collection', 'art', 'photograph', 'attraction', 'display', 'artefact', 'life', 'deed', 'tourist', 'trophy', 'gallery', 'section']"
1692,Safdarjung's Tomb ,"['garden', 'mausoleum', 'building', 'complex', 'office', 'storey', 'minister', 'style', 'canal', 'reign', 'marble', 'water', 'tomb']"
1693,Sagar Dighi ,"['dighi', 'tank', 'refuge', 'tourist', 'bird', 'building', 'century', 'sagar', 'pleasure', 'palace', 'side', 'area', 'winter']"
1694,Saheed Minar ,"['top', 'memorial', 'minaret', 'friend', 'student', 'east', 'ground', 'part', 'spot', 'history', 'evening', 'month', 'public', 'family', 'segment', 'beam', 'monument', 'north', 'buff', 'dragon']"
1695,Ramnagar Fort ,"['fort', 'sati', 'wife', 'bridge', 'tourist', 'site', 'moat']"
1696,Sai Baba Mandir ,"['temple', 'aarti', 'devotee', 'evening', 'statue', 'dhoop', 'ritual', 'morning', 'saint', 'brotherhood', 'pm', 'tolerance', 'order', 'am', 'today', 'transport', 'day', 'meal', 'score', 'spirit']"
1697,Rani Mahal ,"['mural', 'view', 'stronghold', 'valley', 'window', 'architecture', 'paramour', 'ruler', 'wife', 'edifice', 'today', 'time', 'glass', 'structure', 'concubine']"
1698,Rani Mahal ,"['palace', 'memory', '9th', 'courtyard', 'lot', 'evidence', 'chamber', 'time', 'century', 'architecture', 'centre', 'ceiling', 'floor', 'museum', 'wood', 'era', 'home', 'painting', 'bundelkhand']"
1699,Rani Mahal ,"['ruler', 'counterpart', 'hammam', 'pool', 'swimming', 'bath', 'fort', 'mahal']"
1700,Ranjit Vilas Palace ,"['palace', 'style', 'house', 'collection', 'painting', 'acre', 'guest', 'dome', 'design', 'amalgam', 'lookout', 'animal', 'fountain', 'state', 'roof', 'car', 'shield', 'watchtower', 'attraction', 'architecture']"
1701,Rock Fort ,"['devotee', 'fort', 'hill', 'm.', 'mosque', 'temple', 'hillock', 'elevation', 'thousand', 'retreat', 'blessing', 'procession', 'top']"
1702,Roopangarh Fort ,"['room', 'hospitality', 'hotel', 'grace', 'classification', 'tradition', 'fort', 'example', 'people', 'grandeur', 'king', 'guest', 'heritage', 'culture']"
1703,Sai Dham Mandir ,"['people', 'a.g.office', 'number']"
1704,Sacred Heart Church ,"['church', 'railway', 'brick', 'elegance', 'division', 'purpose', 'line', 'distance', 'tourist', 'sunday', 'hundred', 'right', 'style', 'shopping', 'import', 'station', 'rickshaw', 'auto', 'airport', 'charge']"
1705,Saibaba Temple ,"['temple', 'idol', 'meditation', 'capacity', 'public', 'acre', 'marble', 'area', 'devotee', 'hall', 'stone']"
1706,Saifee Villa Museum ,"['museum', 'salt', 'memorial', 'statue', 'front', 'photograph', 'replica', 'trough', 'iron', 'city', 'gallery', 'stone', 'km']"
1707,Sajjangarh ,"['palace', 'monsoon', 'construction', 'cloud', 'view', 'marble', 'pillar', 'complex', 'countryside', 'guard', 'court', 'wall', 'rainwater', 'tower', 'employment', 'water', 'centre', 'elevation', 'successor', 'quarter']"
1708,Sajjangarh Fort ,"['city', 'family', 'attraction', 'people', 'mausoleum', 'ad', 'distance', 'area', 'century', 'sq', 'km']"
1709,Sakaleswara Temple ,"['temple', 'century', 'ad', 'name', 'representation', 'remnant', 'entrance', 'town', 'architecture', 'period', 'craftsmanship', 'destination', 'detailing', 'region', 'peak', 'hallmark']"
1710,Sakshi Gopal Temple ,"['temple', 'idol', 'must', 'consort', 'offering', 'prayer', 'shrine', 'version']"
1711,Sakunthala Jagannatham Museum Of Folk Art ,"['museum', 'ancestor', 'painting', 'household', 'house', 'landowner', 'sculpture', 'wall', 'collection', 'year']"
1712,Salabat Khan's Tomb ,"['tomb', 'minister', 'wife', 'son', 'kingdom', 'hilltop', 'death', 'dome', 'shape', 'event', 'distance', 'sea', 'basement', 'foundation', 'monument', 'storey', 'elevation', 'relic', 'instance', 'plan']"
1713,Salarjung Museum ,"['collection', 'artefact', 'carving', 'item', 'ware', 'museum', 'painting', 'display', 'lacquer', 'jade', 'statue', 'bronze', 'world', 'metal', 'manuscript', 'image', 'part', 'bank', 'man', 'enamel']"
1714,Salasar Balaji Temple ,"['temple', 'statue', 'year', 'devotion', 'venue', 'village', 'site', 'occasion', 'incarnation', 'loyalty', 'deity', 'pujas', 'worship', 'devotee', 'town', 'district', 'offering', 'vigour', 'fair', 'form']"
1715,Salihundam ,"['century', 'stupa', 'village', 'attraction', 'statue', 'shore', 'period', 'phase', 'temple', 'date', 'hill', 'authority', 'town', 'casket', 'complex', 'state', 'excavation', 'km']"
1716,Salim Singh-ki-Haveli ,"['haveli', 'family', 'design', 'owner', 'floor', 'sand', 'structure', 'style', 'remains', 'period', 'peacock', 'balcony', 'year', 'roof', 'ship', 'construction', 'form', 'painting', 'time', 'pavilion']"
1717,Samadhi Of Rani Lakshmi Bai ,"['freedom', 'statue', 'memory', 'honour', 'year', 'complex', 'state', 'fair', 'respect', 'tribute', 'garden', 'fighter']"
1718,Samode Palace ,"['spot', 'world', 'aspect', 'charm', 'village', 'city', 'luxury', 'grandeur', 'year', 'hotel', 'distance', 'history', 'architecture', 'sightseeing', 'art', 'folk', 'tent']"
1719,Samudrika Marine Museum ,"['museum', 'display', 'attraction', 'information', 'camera', 'aspect', 'man', 'collection', 'history', 'entry', 'walking', 'whale', 'life', 'archeology', 'adult', 'skeleton', 'video', 'island', 'lay', 'language']"
1720,Sanchi Museum ,"['item', 'statue', 'number', 'capital', 'asset', 'metal', 'object', 'museum', 'piece', 'monk', 'century', 'part', 'gateway', '1st', 'artefact', 'casket', 'sandstone', 'lion', 'pillar', 'pottery']"
1721,Sand Dunes Village ,"['attraction', 'campfire', 'sand', 'premise', 'pond', 'dune', 'hut', 'dinner', 'water', 'site', 'luxury', 'body', 'heritage', 'hotel']"
1722,Sandalwala Building ,"['building', 'masterpiece', 'ancestor', 'patronage', 'artisan', 'year', 'present']"
1723,Sandipani Ashram ,"['seat', 'source', 'ashram', 'sect', 'tablet', 'numeral', 'area', 'instruction', 'recognition', 'water', 'writing', 'disciple', 'time', 'learning', 'mention', 'supply', 'speech', 'significance', 'stone']"
1724,Saneeshwaran Temple ,"['temple', 'day', 'navagraha', 'sign', 'vicinity', 'festival', 'km']"
1725,Sangeet Bhavan ,"['dance', 'music', 'drama', 'centre', 'speciality', 'training', 'folk', 'art', 'bard', 'year', 'style']"
1726,Sangeetha Mahal ,"['hall', 'theatre', 'reign', 'wave', 'deflection', 'decoration', 'amplification', 'pool', 'absorption', 'pankahs', 'perforation', 'way', 'property', 'attraction', 'water', 'roof', 'stage', 'front', 'chandelier', 'name']"
1727,Sanghi Temple ,"['temple', 'pm', 'tourist', 'student', 'part', 'site', 'darshan', 'precinct', 'time', 'family', 'deity', 'attraction', 'hillock', 'devotee', 'entrance', 'distance', 'gate', 'historian', 'pilgrim', 'morning']"
1728,Sanghol ,"['art', 'museum', 'century', 'collection', 'stone', 'civilisation', 'coin', 'site', 'antique', 'sculptor', 'permission', 'period', 'order', 'area', 'map', 'section', 'pottery', 'attraction', 'excavation', 'gallery']"
1729,Sangin Darwaza ,"['entrance', 'gate', 'city', 'shrine', 'fort', 'birthday', 'time', 'stone', 'ceiling', 'monument', 'road', 'side', 'hymn', 'darwaza.,sangin', 'inscription', 'month', 'praise', 'style', 'wall', 'singing']"
1730,Sangli Fort ,"['fort', 'museum', 'part', 'collector', 'day', 'centre', 'school', 'office', 'palace', 'structure', 'court', 'revenue']"
1731,Sankakiri Fort ,"['fort', 'height', 'temple', 'way', 'church', 'platform', 'city', 'ruler', 'ft', 'pistol', 'jewel', 'attraction', 'mosque', 'weapon', 'wall', 'compound', 'item', 'region', 'km']"
1732,Sankat Mochan Temple ,"['temple', 'year', 'initiative', 'midst', 'idol', 'city', 'range', 'introspection', 'meal', 'ritual', 'style', 'tree', 'worship', 'marriage', 'tourist', 'complex', 'meditation', 'arrangement', '1950s', 'ceremony']"
1733,Sant Damaji Of Mangalwedha ,['temple']
1734,Santa Cruz Cathedral ,"['church', 'cathedral', 'basilica', 'painting', 'feast', 'stone', 'completion', 'period', 'reign', 'style', 'name', 'boat', 'destruction', 'rest', 'invention', 'foundation', 'amalgamation', 'significance', 'bus', 'corner']"
1735,Santhanagopala- Krishnaswamy Temple. ,"['temple', 'carving', 'chance', 'sculpture', 'tourist', 'wall', 'year', 'inscription', 'age', 'thousand', 'site', 'ad', 'charm', 'royalty']"
1736,Santhoshi Mata Temple ,"['temple', 'devotee', 'period', 'luck', 'day', 'goddess', 'woman', 'site', 'fortune', 'km']"
1737,Sanwariaji Temple ,"['temple', 'lord', 'pilgrimage', 'distance', 'town', 'devotee', 'km']"
1738,Sao Tome ,"['office', 'creek', 'view', 'water', 'home', 'quarter', 'presence', 'side', 'setting', 'tourist', 'house', 'newspaper', 'century', 'mix', 'lane', 'rise', 'press', 'reflection', 'settlement']"
1739,Sardar Patel Museum ,"['museum', 'attraction', 'independence', 'planetarium', 'regula', 'post', 'origin', 'show', 'relic', 'history', 'artefact', 'year']"
1740,Sardar Vallabhbhai Patel National Memorial ,"['museum', 'garden', 'flag', 'independence', 'family', 'leader', 'contribution', 'activist', 'centre', 'tourist', 'freedom', 'exhibition', 'memorial', 'portrait', 'documentary', 'film', 'highlight', 'movement', 'fighter']"
1741,Sari Deul Temple ,"['art', 'side', 'scroll', 'temple', 'period', 'house', 'instance', 'design', 'pilaster', 'architecture', 'evidence']"
1742,Sarjekot Fort ,"['fort', 'sunrise', 'view', 'sunset', 'season', 'ship', 'fortress', 'century', 'ruler', 'people', 'shelter', 'storm', 'mouth', 'group']"
1743,Sarkhej Rauza ,"['tomb', 'pavilion', 'mosque', 'palace', 'style', 'structure', 'garden', 'government', 'history', 'acre', 'pillar', 'tourist', 'operation', 'bracket', 'student', 'inter', 'part', 'house', 'dome', 'transport']"
1744,Sarkhej Roza ,['people']
1745,Sartanji Choro ,"['pavilion', 'attraction', 'dome', 'arch', 'poem', 'summer', 'time', 'side', 'style', 'image', 'garden', 'top', 'architecture', 'storey', 'season', 'musician', 'middle']"
1746,Sarvadham Temple ,"['temple', 'complex', 'god', 'kilometre', 'rudraksh', 'kalpvriksh', 'goddess', 'kunj', 'idol', 'tree', 'top']"
1747,Sas-Bahu Temple ,"['temple', 'platform', 'image', 'torana', 'law', 'structure', 'century', 'ceiling', 'mother', 'town', 'mandapa', 'projection', 'hymn', 'distance', 'mark', 'lintel', 'sculpture', 'porch', 'complex', 'lord']"
1748,Sasivekalu Ganesha Temple ,"['snake', 'idol', 'pavilion', 'stomach', 'way', 'noose', 'seed', 'ad', 'resemblance', 'foot', 'kind', 'temple', 'mustard', 'local', 'deity', 'inscription', 'monolith', 'hill', 'language', 'merchant']"
1749,Sat Manzil ,"['piece', 'tower']"
1750,Satara Fort ,"['reign', 'attraction', 'city', 'fort']"
1751,Saneeswara Temple ,"['temple', 'image', 'site', 'tank', 'tourist', 'side', 'year', 'bath', 'devotee', 'nayanmars', 'effect', 'sanctum', 'half', 'incarnation', 'standing', 'stone', 'distance', 'bush', 'number', 'entrance']"
1752,Satrughaneswar Temple ,"['sculpture', 'temple', 'century', 'resemblance', 'vigour', 'side', 'ad', 'monument', 'exuberance', 'group']"
1753,Sawantwadi Palace ,"['family', 'palace', 'painting', 'stone', 'heritage', 'century', 'king', 'good', '6th', 'jewellery', 'property', 'artefact', 'lifestyle', 'clay', 'majority', 'stronghold', 'collection', 'region']"
1754,Schwartz Church ,"['marble', 'structure', 'part', 'attraction', 'carving', 'moment', 'ruler', 'proximity', 'minister', 'year']"
1755,Science And Technology Museum ,"['spot', 'planetarium', 'kid', 'tourist', 'gallery', 'adult', 'branch']"
1756,Scindia Museum ,"['museum', 'ruler', 'painting', 'woodwork', 'structure', 'ornament', 'coin', 'antique', 'crystal', 'reign', 'sculpture', 'trust', 'collection', 'carpet', 'silver', 'art', 'memorial', 'nature', 'gold', 'manuscript']"
1757,Sculpture Museum ,"['sculpture', 'museum', 'brass', 'cement', 'rock', 'wood', 'collection', 'god', 'deity', 'reign', 'statue', 'goddess', 'student']"
1758,Secretariat ,"['building', 'walk', 'city', 'end', 'shopping', 'style']"
1759,Serzang Temple ,"['copper', 'temple', 'gold', 'image', 'mural', 'gilt', 'copy', 'village', 'quarter', 'manuscript', 'sect', 'people', 'figure', 'century', 'painting', 'shrine', 'wall', 'ft', 'silver', 'letter']"
1760,Seshadari Iyer Memorial ,"['building', 'library', 'park', 'attraction', 'book', 'child', 'life', 'people', 'state', 'collection', 'knowledge', 'recreation', 'style', 'walk', 'landmark', 'toy', 'theatre', 'train', 'cost', 'plaster']"
1761,Seshadri Swamigal Ashram ,"['spot', 'meditation', 'accommodation', 'devotee', 'ritual', 'garden', 'century', 'traveller', 'option', 'ashram', 'power', 'time', 'stay', 'order']"
1762,Shah Burj ,"['fort', 'tower', 'time', 'r', 'am', 'era', 'fee', 'year', 'foreigner', 'view', 'burj', 'tourist', 'month', 'splendour', 'reminder', 'attraction', 'visit', 'entry', 'pm', 'rs30/-']"
1763,Shah Ganj Masjid ,"['side', 'flight', 'pillar', 'shop', 'style', 'stair', 'step', 'square', 'structure', 'mosque', 'platform', 'form']"
1764,Shah Jahan's Mosque ,"['marble', 'mosque', 'dome', 'metre', 'carving', 'height', 'mine', 'arcade', 'trellis', 'sanctum', 'style', 'work', 'courtyard', 'edifice', 'court', 'arch']"
1765,Shah Najaf Imambara ,"['tomb', 'silver', 'din', 'wife', 'monument', 'remains', 'replica', 'building', 'seat', 'pseudonym', 'bank', 'bamboo', 'chandelier', 'town', 'dome', 'death', 'governance', 'structure', 'law', 'design']"
1766,Shahabad Fort ,"['cannon', 'side', 'fort', 'mountain', 'forest', 'topkhana', 'pond', 'area', 'artillery']"
1767,Shaheed-E-Azam Sardar Bhagat Singh Museum ,"['museum', 'blood', 'martyr', 'life', 'display', 'motherland', 'liberation', 'page', 'article', 'tourist', 'ash', 'half', 'number', 'homage', 'order', 'memory', 'signature', 'martyrdom', 'bronze', 'sand']"
1768,Shahi Masjid ,"['mosque', 'time', 'garden', 'family', 'member', 'landscaping', 'dome', 'bus', 'pilgrimage', 'name', 'lawn', 'center', 'state', 'run', 'heart', 'model', 'arch', 'pilgrim', 'taxi', 'side']"
1769,Shahid Smarak ,"['height', 'marble', 'm', 'monument', 'war', 'memorial']"
1770,Shahinshah Wali Tomb ,"['tomb', 'century', 'reign', 'period', 'fair', 'day', 'side', 'calendar', 'area', 'town', 'month', 'year']"
